date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:53:29	180/180	U-----	200	untouched ('OK')	text/plain	date:Tue,%2010%20Sep%202013%2004:49:49%20GMT	http://themeforest.net/robots.txt		(from )
20:53:30	7439/7439	U--MC-	200	updated ('OK')	text/html	etag:%22f9a0c103af3c2c883b571907de80c6b9%22	http://themeforest.net/item/shoelace-modern-responsive-landing-page/full_screen_preview/5740910	C:/landingpages/shoelace/themeforest.net/item/shoelace-modern-responsive-landing-page/full_screen_preview/5740910.html	(from )
20:53:30	67/67	---M--	200	added ('OK')	image/gif	date:Mon,%2021%20Oct%202013%2003:53:28%20GMT	http://statse.webtrendslive.com/dcsbkb9azvz5bdcyrezh0wose_5r8l/njs.gif?dcsuri=/nojavascript&WT.js=No&WT.tv=10.2.0&dcssip=themeforest.net	C:/landingpages/shoelace/statse.webtrendslive.com/dcsbkb9azvz5bdcyrezh0wose_5r8l/njs1eaa.gif	(from )
20:53:31	2670/2670	U-----	200	untouched ('OK')	text/css	etag:%22003cabcd1843012881a6eee17ef88756%22	http://2.envato-static.com/assets/full_screen_preview/full_screen_preview-2dff58760ddd3fb5acb3540e65f6ef43.css	C:/landingpages/shoelace/2.envato-static.com/assets/full_screen_preview/full_screen_preview-2dff58760ddd3fb5acb3540e65f6ef43.css	(from http://themeforest.net/item/shoelace-modern-responsive-landing-page/full_screen_preview/5740910)
20:53:31	9251/9251	U-----	200	untouched ('OK')	image/png	date:Thu,%2006%20Dec%202012%2003:41:28%20GMT	http://themeforest.net/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	C:/landingpages/shoelace/themeforest.net/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	(from http://themeforest.net/item/shoelace-modern-responsive-landing-page/full_screen_preview/5740910)
20:53:31	6700/6700	U-----	200	untouched ('OK')	image/png	date:Thu,%2006%20Dec%202012%2003:41:28%20GMT	http://themeforest.net/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	C:/landingpages/shoelace/themeforest.net/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	(from http://themeforest.net/item/shoelace-modern-responsive-landing-page/full_screen_preview/5740910)
20:53:32	3056/3056	U-----	200	untouched ('OK')	image/png	date:Thu,%2006%20Dec%202012%2003:41:28%20GMT	http://themeforest.net/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	C:/landingpages/shoelace/themeforest.net/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	(from http://themeforest.net/item/shoelace-modern-responsive-landing-page/full_screen_preview/5740910)
20:53:32	9251/9251	U-----	200	untouched ('OK')	image/png	date:Thu,%2006%20Dec%202012%2003:41:28%20GMT	http://themeforest.net/icons/themeforest.net/apple-touch-icon-precomposed.png	C:/landingpages/shoelace/themeforest.net/icons/themeforest.net/apple-touch-icon-precomposed.png	(from http://themeforest.net/item/shoelace-modern-responsive-landing-page/full_screen_preview/5740910)
20:53:33	92629/92629	U-----	200	untouched ('OK')	text/javascript	date:Fri,%2008%20Feb%202013%2015:35:10%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	C:/landingpages/shoelace/ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	(from http://themeforest.net/item/shoelace-modern-responsive-landing-page/full_screen_preview/5740910)
20:53:33	93391/93391	U-----	200	untouched ('OK')	application/javascript	etag:%22d6d0f37d991022530bc95d008ed65e87%22	http://3.envato-static.com/assets/jquery-74706bae09255db777f0225ef9b18892.js	C:/landingpages/shoelace/3.envato-static.com/assets/jquery-74706bae09255db777f0225ef9b18892.js	(from http://themeforest.net/item/shoelace-modern-responsive-landing-page/full_screen_preview/5740910)
20:53:34	5000/5000	U-----	200	untouched ('OK')	application/javascript	etag:%22f3e26f871ba57e5c5d8f0d2947ecd444%22	http://2.envato-static.com/assets/full_screen_preview/full_screen_preview-ea22947149f7312471fb7181751916bd.js	C:/landingpages/shoelace/2.envato-static.com/assets/full_screen_preview/full_screen_preview-ea22947149f7312471fb7181751916bd.js	(from http://themeforest.net/item/shoelace-modern-responsive-landing-page/full_screen_preview/5740910)
20:53:34	8259/8259	U--MC-	200	updated ('OK')	text/javascript	etag:2835883702016618186	http://www.googleadservices.com/pagead/conversion.js	C:/landingpages/shoelace/www.googleadservices.com/pagead/conversion.js	(from http://themeforest.net/item/shoelace-modern-responsive-landing-page/full_screen_preview/5740910)
20:53:34	22177/22177	U-----	200	untouched ('OK')	application/javascript	etag:%22d64f1dff729ccf14d9c16fc729a05ce7%22	http://2.envato-static.com/assets/shared/webtrends-5a2a0b3d9f0eeafea3f60e4831cf4958.js	C:/landingpages/shoelace/2.envato-static.com/assets/shared/webtrends-5a2a0b3d9f0eeafea3f60e4831cf4958.js	(from http://themeforest.net/item/shoelace-modern-responsive-landing-page/full_screen_preview/5740910)
20:53:35	3101/3101	U-----	200	untouched ('OK')	image/png	etag:%22401b4914625744bcb86ab822778c46dc%22	http://2.envato-static.com/assets/fullscreen_preview/3docean-purchasethis-038eab829edfb0f37282f2bd74280aef.png	C:/landingpages/shoelace/2.envato-static.com/assets/fullscreen_preview/3docean-purchasethis-038eab829edfb0f37282f2bd74280aef.png	(from http://2.envato-static.com/assets/full_screen_preview/full_screen_preview-2dff58760ddd3fb5acb3540e65f6ef43.css)
